CID,MEAN_INTENSITY/STRENGTH,STD_INTENSITY/STRENGTH,MEAN_VALENCE/PLEASANTNESS,STD_VALENCE/PLEASANTNESS,MEAN_BAKERY,STD_BAKERY,MEAN_SWEET,STD_SWEET,MEAN_FRUIT,STD_FRUIT,MEAN_FISH,STD_FISH,MEAN_GARLIC,STD_GARLIC,MEAN_SPICES,STD_SPICES,MEAN_COLD,STD_COLD,MEAN_SOUR,STD_SOUR,MEAN_BURNT,STD_BURNT,MEAN_ACID,STD_ACID,MEAN_WARM,STD_WARM,MEAN_MUSKY,STD_MUSKY,MEAN_SWEATY,STD_SWEATY,MEAN_AMMONIA/URINOUS,STD_AMMONIA/URINOUS,MEAN_DECAYED,STD_DECAYED,MEAN_WOOD,STD_WOOD,MEAN_GRASS,STD_GRASS,MEAN_FLOWER,STD_FLOWER,MEAN_CHEMICAL,STD_CHEMICAL
180,16.714,26.504,55.438,23.997,3.375,13.368,15.531,26.8,6.4688,15.251,2.2812,7.9565,2.5938,13.127,4.375,14.393,7.625,20.705,9.0312,19.415,2.9062,13.925,3.2188,11.46,10.031,20.698,7.5312,21.706,0.03125,0.17678,5.2812,17.005,6.2188,18.386,8.625,20.297,6.5938,19.294,12.625,25.867,10.5,18.168
262,36.816,33.934,51.147,25.52,14.176,27.665,19.618,29.212,5.2353,19.128,3.5294,17.354,3.6176,16.302,1.2647,5.017,2.1471,7.932,13.265,26.395,1.2647,7.1998,2.3235,11.159,10.353,23.7,10.441,21.872,8.1765,25.098,1.3824,7.8856,8.2059,23.509,0.029412,0.1715,0.029412,0.1715,3.4706,17.303,3.4706,13.23
264,86.98,13.587,22.857,28.1,0.55102,2.7162,1.1633,4.6339,0.061224,0.42857,4.1633,14.03,7.4694,21.88,4.3469,12.797,1.1429,6.045,27.408,36.707,7.3878,16.107,6.5918,17.278,6.6735,18.661,20.449,31.468,19.327,31.367,14.265,30.014,16.735,28.053,4.5714,16.7,1.102,7.7143,0.93878,5.5242,14.163,26.31
323,59.163,30.851,66.551,26.175,19.49,34.751,32.837,33.168,11.02,25.446,0.020408,0.14286,0.020408,0.14286,8.7347,21.668,6.3673,18.658,4.4694,12.26,6.2449,17.374,3.4286,10.805,9.2653,21.554,1.6735,6.9504,1.6122,7.9236,2.4082,9.65,0.69388,4.7135,1.6531,11.426,1.449,9.998,11.306,26.651,12.286,23.974
702,10.612,22.681,58.667,22.588,7.8333,22.257,26.833,34.002,0.041667,0.20412,0,0,2.0417,10.002,9.5,24.996,3.25,14.501,4.2917,15.429,0.20833,1.0206,1.3333,6.532,0.79167,3.0925,6.1667,18.203,3.125,14.683,0.083333,0.40825,0,0,0.33333,1.633,0.91667,3.729,1.0833,5.3072,4.7083,16.594
750,9.6735,19.123,58.905,22.622,4.8571,19.317,28.095,32.693,6.4524,12.793,1.9762,6.3572,2.4048,7.7682,4.619,13.478,2.619,7.9662,8.5,19.733,2.9286,9.4,5.2857,15.296,7,18.201,6.5952,18.733,1.3095,5.2891,4.9286,16.59,0.47619,2.9321,2.9048,10.135,0.61905,2.8793,8.8571,22.26,12.571,23.237
753,11.857,22.168,50.643,29.806,0,0,9.2857,27.306,0,0,3.8571,9.9294,1.2857,4.8107,13.786,30.915,27.071,36.182,6.4286,13.346,0,0,0,0,0,0,9.8571,20.699,3.5,9.3706,0.78571,2.9399,3.6429,13.63,5,14.734,13,28.11,7.7857,26.649,5.2857,18.387
962,15.694,25.916,52.12,21.32,2.6,13,10.64,18.536,4.16,15.66,1.12,3.972,1.52,6.0008,10.36,24.898,2.6,11.24,0.6,1.9579,3.08,12.456,0.04,0.2,2.6,10.859,4.44,15.022,0.76,3.5972,2.68,13.193,0.56,2.5994,3.92,13.647,12.48,28.305,5.12,11.734,4.92,18.307
1031,16.939,26.839,51,20.208,1.8667,7.9426,14.1,22.895,2.1333,10.441,0.033333,0.18257,3.6667,13.497,9.9667,19.118,4.8333,19.151,5.6,14.533,1.3667,6.5836,1.4667,4.2567,2.1333,10.766,12.2,21.889,0.73333,3.0278,4.1,9.8623,2.8333,13.729,1.0667,4.2825,4.1,16.983,3.2667,12.873,8.1,19.679
3102,16.959,27.215,38.271,24.177,1.7083,9.3626,4.7708,12.263,3.6042,12.149,0.25,1.5912,0.52083,3.3198,0.66667,2.8978,7.2083,21.199,6.4583,17.481,13.833,27.671,14,25.116,4.8542,15.212,5.3125,18.483,0.8125,3.8463,5.8542,15.353,3.6667,12.965,7.4583,21.694,2.1042,14.431,3.125,13.507,33.583,35.074
3314,73.102,23.452,67.958,23.791,13,26.879,26.625,31.674,6.5417,15.451,0.020833,0.14434,0.083333,0.45351,40.708,37.422,6.5208,22.344,4.2292,13.673,1.8958,6.8734,1.875,7.8188,9.2708,21.286,1.1458,6.9619,0.54167,3.6083,2.125,10.199,1.5833,7.8736,2.8542,11.738,0.58333,3.0376,7.5833,17.357,8.9583,22.13
5862,15.878,26.549,14.409,20.98,1.1364,5.3769,2.4091,11.972,0,0,7.1364,17.767,5.5227,15.839,5.5909,16.635,0,0,20.25,33.215,14.864,30.68,9.3864,18.929,3.0227,13.246,13.977,28.343,5.5909,14.685,13.068,28.6,32.886,42.052,0,0,1.5682,10.402,2.2727,15.076,9.1364,22.118
5962,54.878,32.473,18.729,24.142,0.3125,2.0228,3.875,11.514,0.64583,2.7405,4.7708,17.992,3.7708,15.694,4.7708,14.836,1.5417,6.1781,14.167,28.753,11.521,27.215,19,31.401,5.375,16.754,14.729,27.171,10.917,24.876,29.833,41.38,13.854,26.97,1.8125,12.411,0.020833,0.14434,1.0833,6.9308,37.083,39.823
6274,9.5918,18.744,34.071,27.253,3.2143,16.172,5.5952,14.937,0.28571,1.5505,0.2619,1.547,0.2381,1.3935,5.4762,13.21,7.0952,21.979,7.4048,17.968,6.4048,14.518,10.071,17.733,10.857,21.859,11.476,20.834,5.9524,17.542,7.5714,20.366,7.9762,20.97,2.4048,8.5141,0.30952,1.2589,2.1667,10.051,17.667,27.085
6322,7.3265,16.372,45.765,24.583,5,20.616,13.412,27.152,0,0,0,0,2.9412,12.127,5.4118,12.821,8.7059,20.04,7.2941,22.27,6.2941,17.449,5.9412,15.939,8.3529,19.144,4.2941,10.821,4.5882,17.913,4.1176,14.603,0.70588,2.2573,0.41176,1.1757,7.4118,21.769,2,8.2462,9.7647,18.72
6506,5.9388,16.286,40.973,19.291,0.24324,1.3209,7,13.701,2.8378,9.6336,0.91892,4.1458,2.3514,8.2839,4.5405,11.507,5.7027,16.01,10.027,21.376,2.5946,7.5405,5.2432,14.293,10.892,25.631,3.3514,8.9883,4.9189,13.895,6.5405,18.295,0.67568,3.7863,1.2432,5.7465,1.0541,4.6004,4.8649,15.785,20.081,29.587
6544,54.551,30.016,51.444,25.789,0.84444,4.2101,12.289,22.268,7.0444,21.524,0.2,1.0574,1.3111,6.898,4.1333,13.242,5.8,18.207,4.7111,15.95,1.2444,5.223,4.8889,13.275,5.3556,17.995,4.0444,16.141,0.48889,2.9819,3.8667,15.559,2.9556,11.292,4.1778,16.588,4.2667,14.258,9.1556,20.26,15.4,30.594
6561,79.245,22.513,23.776,22.744,1.449,9.998,1.4694,5.9865,1.1429,7.8555,2.102,6.9799,1.6735,8.4567,5.6327,16.347,4.2245,10.601,16.735,27.082,8.7959,20.506,14.673,23.794,4.4898,16.197,11.98,24.348,8.9592,23.813,13.98,28.445,10.714,21.988,3.0408,12.873,1.5918,6.6424,0.4898,3.2858,33.449,36.46
6669,46.143,34.72,64.167,22.741,0,0,21.071,24.824,2.7619,9.2521,0,0,0,0,5.4286,16.326,4.7143,15.761,3.3095,11.248,0.047619,0.21554,3.2857,12.112,7.8571,21.486,7,20.117,1.1667,5.0312,1.9524,8.5396,1.0238,4.6981,1.1667,5.6823,2.4048,9.5944,21.071,34.922,13.262,24.77
7092,61.286,30.031,41.745,31.375,3.3617,16.415,17.149,25.967,4.4894,16.855,0.021277,0.14586,2.4681,11.872,8.7234,22.787,5.8511,19.274,3.7872,11.035,3.766,10.563,7.3191,18.053,8.4894,24.824,16.766,30.477,5.4255,18.505,4.9149,15.655,5.1702,16.152,4.8723,16.199,2.1277,7.9389,7.0213,18.545,24.149,30.987
7137,39.816,30.489,59.909,26.122,6.6364,20.984,27.136,31.168,4.7727,14.089,0.11364,0.61817,0.65909,3.5302,19.727,33.253,4.0455,15.519,4.4545,12.934,8.2045,24.599,1.9091,8.1149,7.8409,16.595,2.3182,9.8022,0.045455,0.21071,1.3182,6.5264,0.61364,2.3842,5.1136,17.977,1.3864,9.0431,4.4091,11.451,5.6818,16.133
7302,38.408,36.78,28.184,19.73,0.78947,3.5195,2.1053,7.1727,1.0526,4.1456,4.5,17.514,6.6316,18.541,4.6316,13.32,3.6053,16.983,18.526,33.631,4.5,15.905,0.73684,3.0904,8.8158,20.845,15.658,24.044,16.684,28.333,9.1316,23.283,13.395,26.328,2.5,9.4347,0.97368,3.6129,0.39474,2.125,5.5789,15.759
7476,40.694,30.075,52.796,29.208,16.347,26.96,25.939,30.979,4.3469,12.141,0.020408,0.14286,1.6531,9.0704,15,26.842,0.91837,4.4946,2.1224,7.8253,4.3265,14.916,4.4694,12.253,10.776,24.364,6.1837,19.194,0.65306,4.4279,4.6122,16.869,0.55102,2.3369,3.8571,13.23,3.0204,9.9551,8,21.695,15.429,26.245
7559,69.245,25.3,41.102,30.237,0.28571,1.8597,12.633,22.18,4.8163,15.096,0.20408,1.1543,1.3469,7.6309,3.6531,10.929,7.898,19.928,10.939,21.531,0.89796,3.6756,7.0204,17.193,4.6939,13.796,14.224,27.345,6.8571,20.125,10.612,24.666,6.9184,16.929,2.551,7.1329,3.8367,15.51,16.388,29.441,11.898,23.87
7657,14.735,23.115,67.061,27.786,14.204,31.534,44.041,37.316,19.735,32.488,0.020408,0.14286,1.2449,6.0261,9.6939,23.888,7.7143,23.374,2.8367,11.72,1.3265,6.2928,5,15.674,8.1633,23.378,2.6327,9.776,0.79592,4.1331,4.0816,17.246,2.5918,12.608,4.449,17.965,0.59184,2.8644,10.531,23.333,17.367,30.65
7770,65.694,26.337,40.653,26.575,2.2857,10.73,21.612,29.817,16.061,28.488,0.97959,5.1619,0.14286,0.86603,2.449,7.6378,0.2449,1.3155,14.347,26.085,3.4286,11.809,2.2857,8.1599,5.3061,18.462,8.449,19.497,4.4286,12.981,7.7755,23.374,8.3265,22.561,0.5102,2.8876,1.2449,5.566,4.9184,16.49,8.5714,20.106
7793,73.163,26.107,54.102,29.499,0.10204,0.71429,19.837,29.208,17.143,32.488,0.14286,1,0.020408,0.14286,4.6939,16.296,4.898,19,5.7959,15.667,4.9592,15.688,6.4898,13.702,5,15.159,2.5102,8.0987,3.3265,15.288,6.3265,19.678,3.449,14.226,2.2449,11.056,3.8367,15.27,18.714,33.458,21.959,32.378
7797,64.061,27.755,64.283,24.511,5.8913,21.062,39.239,35.087,21.435,30.6,0.021739,0.14744,0.043478,0.29488,6.3261,20.274,6.4783,23.13,4.8478,15.69,0.17391,1.0393,3.913,12.406,4.6739,14.519,1.3913,7.684,0.021739,0.14744,2.2826,8.788,1.8043,9.6393,0.54348,2.5096,3.2174,15.014,16.348,30.454,10.217,21.44
8025,3.9592,13.514,36.051,26.151,1.9487,7.4867,9.5385,20.874,5.6154,20.158,1,6.0828,1.2564,5.4373,7.3077,20.1,7.359,21.169,3.8462,16.034,3.5128,15.48,6.2051,17.33,4.9487,18.848,8.8462,18.703,2,10.149,7.8205,24.08,4.0513,17.082,2.9744,16.014,6.3846,18.661,8.7692,24.076,24.769,33.038
8049,6.4898,14.59,72.5,20.422,6.9318,22.032,39.773,31.14,32.773,35.832,0.022727,0.15076,0.68182,4.371,3.7273,12.139,3.1136,9.9,3.0682,11.012,0.18182,0.81477,1.9318,9.3694,6.5227,22.688,1.5227,9.0669,1.7727,11.606,1.0455,6.4806,3.2727,16.267,0.65909,4.2203,4.9318,17.057,7.1591,19.811,6.3182,18.231
8094,78.204,22.793,21.163,20.212,0.020408,0.14286,0.79592,4.1331,0.020408,0.14286,1.3265,7.0041,5.3061,15.589,2.1633,7.8218,1.4286,6.0035,15.306,28.446,8.8776,21.94,6.9184,14.272,7.3061,18.763,17.061,27.359,10.837,21.738,10.184,22.645,13.224,27.743,9.449,25.933,0.4898,2.3552,0.77551,2.9316,21.51,31.043
8419,27.367,29.825,75.375,21.338,31.062,34.255,46.312,34.819,7.125,20.661,0,0,0,0,10.958,27.313,2.0833,8.8794,0.4375,2.3147,4.0208,14.955,0.97917,6.7839,13.396,26.527,0.20833,1.4434,0.041667,0.28868,0.5,2.7211,3.6667,17.681,1.3125,5.2961,3.625,16.579,4.5417,14.672,10.312,24.765
8438,35.612,31.626,71.837,22.333,25.163,36.077,44.98,36.734,14.347,25.37,0.020408,0.14286,0.020408,0.14286,9.7551,25.219,2.898,11.185,1.7959,7.5415,3,12.876,1.6531,7.5624,10.204,24.042,2.7959,8.8105,0.69388,3.3116,0.65306,3.231,0.020408,0.14286,1.3061,5.8317,0.79592,5.4275,8.6939,17.543,11.469,21.943
8468,16.592,27.362,53.889,27.737,11.2,26.171,25.156,31.164,3.0889,11.542,0.022222,0.14907,0.37778,2.3864,4.3111,12.058,1.9333,11.391,1.7333,8.2721,7.0889,18.534,4.0444,13.225,11.6,23.405,5.5333,16.696,1.2444,5.6252,1.8444,11.92,1.3333,7.2363,3.3111,11.235,1.4222,8.0042,10.356,22.642,14.467,26.235
8815,57.816,28.235,58.255,23.507,5.7447,16.131,35.511,32.215,7.7447,17.911,0.021277,0.14586,0.7234,2.7402,16.234,28.608,1,3.4704,3.2553,9.3773,2.3617,10.884,3.9149,11.905,6.1702,18.064,2.0213,7.8615,0.042553,0.29173,3.5745,14.278,0.12766,0.74065,0.23404,1.1649,6.234,20.747,14.043,28.516,11.723,23.019
8878,51.837,31.114,74.167,19.526,4.0833,15.095,41.854,39.078,26.896,35.377,1.8958,12.145,0.3125,1.5181,4.5417,15.431,4.8333,18.24,3.2917,13.835,1.0833,5.6223,1.9792,8.3577,8.4583,19.932,1.3333,4.9822,1.0833,5.1316,0.083333,0.45351,1.3542,8.675,2.2292,14.448,3.5417,12.327,14.708,29.358,6.3125,15.622
9012,62.551,28.035,25.083,25.497,3.5417,16.895,2.4583,14.611,0,0,5.1458,13.228,8.25,21.502,8.125,20.183,2.4167,9.9698,8.0625,17.312,45.5,42.55,6.6875,14.686,5.5208,12.899,8.3125,18.431,2.3542,10.824,7.9167,19.34,6.7708,17.792,5.5625,17.274,3.6875,15.944,1.9167,8.5274,19.646,30.493
10886,13.49,24.451,43.375,27.899,4.375,15.407,20.896,31.99,12.125,27.08,0.54167,3.6083,0.020833,0.14434,3.9792,11.462,2.875,14.614,10.396,22.536,1.6458,6.6348,8.3542,20.404,4.3125,13.459,10.146,23.122,3.7292,15.336,4.4792,15.269,3.625,15.16,1.7083,5.4028,1.6875,7.6885,6,18.052,18.562,29.529
11567,68.224,30.759,47,30.193,3.625,14.488,9.8333,21.824,5.9792,20.729,0.27083,1.5944,0.79167,5.1939,4.5417,15.184,8.3958,21.666,3.2292,11.885,8.5625,20.924,9.8125,21.112,4.7292,17.034,3.2917,13.986,3.7708,16.53,7.4375,21.504,0.8125,3.2463,2.375,8.8381,2.9167,13.486,2.8542,11.223,36.333,38.799
12020,42.51,35.679,42.25,29.086,3.45,13.202,11.625,25.07,5.65,21.326,0.85,3.6833,3.3,15.973,5.5,19.696,3.375,12.401,6.275,18.271,7.65,21.012,11.55,25.277,6.825,19.829,5.6,12.411,2.825,8.9411,3.3,11.947,3.65,14.341,5.175,18.644,1.475,6.7709,3.25,15.041,23.425,27.93
12265,69.449,26.262,53.625,26.28,17.625,28.874,9.4583,23.723,0.5,3.3198,0.58333,3.0376,5.6667,20.219,11.938,25.653,2.8958,15.059,8.7708,24.146,9.5833,21.425,3.0208,12.464,13.75,25.867,11.208,20.414,7.0417,20.053,2.8333,12.972,2.2917,8.4399,1.6042,6.7595,0.25,1.5912,0.0625,0.31999,5.4792,16.973
12377,80.796,20.084,37.102,26.843,2.7551,11.519,1.8367,7.5948,0.081633,0.57143,8.5306,24.099,46.776,39.901,29.633,35.922,0.73469,3.7404,6.8163,17.36,7.8163,20.236,6.1429,16.593,7.9184,18.652,6.3673,16.952,4.0816,14.86,6.5102,21.042,7.3673,22.703,1.0816,4.6136,1.8776,9.2616,2.0612,10.078,9.4286,22.78
15654,81.061,20.891,20.122,21.152,0.28571,1.8597,1,4.7566,0.020408,0.14286,0.44898,2.4838,1.2245,6.145,3.6327,16.009,7.2041,21.535,11.082,21.494,10.816,23.238,15.143,27.44,4.3061,13.01,5.1633,16.839,1.1224,4.2014,12.286,26.04,11.041,25.109,2.4286,14.46,2.8367,11.063,0.36735,2.4298,36.551,37.553
16537,32.714,32.369,36.795,25.977,1.1026,6.8855,3.2821,9.744,0.48718,2.2696,0.69231,4.3235,2.2821,14.251,3.2051,11.291,3.4615,15.219,9.1026,23.168,2.2564,8.372,3.7436,14.422,2.2564,6.9952,14,27.121,8.5128,20.445,17.308,32.897,11.103,24.345,0.4359,2.7222,4.1795,14.5,5.3077,17.905,17.308,28.01
17898,88.041,13.525,35.531,34.614,16.306,30.108,9.8571,22.761,0.77551,3.9331,0.020408,0.14286,0.87755,5.077,10.714,23.014,1.5306,7.6841,9.4694,23.792,18.857,31.973,5.5306,17.188,8.1633,21.904,12.102,24.134,4.7755,17.666,6.4286,20.97,9.2245,24.094,9.7755,25.376,5.1429,17.778,0.020408,0.14286,19.306,30.728
18467,64.551,32.491,36.674,28.614,5.9783,17.689,9.913,21.955,0.54348,2.198,3.1304,14.298,4.087,15.414,2.3696,7.2368,2.6522,12.104,9.913,23.559,9.3043,21.572,5.6522,17.54,9.6739,21.031,13.522,26.713,6.0652,18.332,4.8696,13.864,3.2174,15.035,4.5435,14.866,0.021739,0.14744,0.36957,1.6514,17.761,28.118
21363,65.837,27.325,30.783,21.941,2.8696,13.284,6,18.253,0.43478,2.802,4.087,13.355,2.2826,12.445,3.6522,16.094,5.1304,17.996,13.283,26.716,4.8043,14.598,8.5435,19.636,9.6522,22.931,18.587,29.679,21.304,33.272,12.022,27.671,4.7174,12.473,2.3043,8.4007,1.1739,6.1583,3.1087,14.243,11.043,22.594
27440,84.286,22.706,15.915,18.918,1.0213,5.1096,0.93617,4.532,1.8723,12.106,4.5106,15.825,8.0638,20.506,4.2766,12.882,3.2979,11.01,13.362,25.079,8.1064,20.709,15.511,25.426,5.8298,17.796,10.957,25.312,8.1915,19.238,16.83,30.334,7.8085,18.791,0.021277,0.14586,0.021277,0.14586,0.021277,0.14586,51.66,41.769
31219,47.082,33.458,68.524,22.144,1.119,4.1036,43.929,35.283,22.81,29.732,0,0,0,0,2.9048,10.036,6.5476,19.461,1.0952,4.6738,0,0,3.2143,13.348,5.4524,16.278,2.3333,9.1403,0,0,1.4048,6.4734,2.1667,10.418,1.2143,5.8081,0.80952,5.2463,11.238,23.637,8.7619,20.05
31276,51.265,34.451,59.698,24.671,7.814,20.679,43.651,37.218,30.86,38.091,0.023256,0.1525,0.023256,0.1525,2.1395,6.2396,7.0698,22.481,3.2791,14.198,2.6512,11.602,4.7674,18.569,4.8837,15.494,7.2791,20.082,2.3488,15.247,0.023256,0.1525,0.069767,0.33773,0.023256,0.1525,3.6744,15.198,10.698,26.064,14.581,26.685
31283,5.2653,14.87,53.075,24.95,2.5,13.587,12.85,24.005,5.475,16.541,2.4,10.035,2.4,8.8919,4.925,12.871,5.35,17.478,8.725,18.176,5.975,16.719,7.55,16.534,7.65,15.825,8.65,20.868,8.1,20.117,5.5,18.146,4.975,19.904,1.35,7.2202,0.55,2.7823,7.45,20.154,21.85,33.347
60998,48.531,32.029,43.432,29.487,3.7955,16.278,16.182,29.747,5.0909,19.187,1.4545,8.2447,1.9773,13.116,3.2955,9.5396,1.5682,6.8145,6.6136,18.031,4.2045,12.13,3.4091,12.513,9.2273,22.649,8.1818,17.936,6.25,17.302,5.8864,19.636,8.4318,23.039,5,12.353,3.1136,9.6285,14.568,28.989,12.227,24.056
61523,48.878,33.044,52.044,22.122,2.4667,8.7895,15.644,22.507,10.978,22.395,0.88889,5.0056,0.57778,2.9115,4.0444,13.615,1.7111,6.8677,3.7333,12.612,4.5333,16.872,4.7111,16.468,6.1111,17.99,8.8222,22.982,2.2,10.533,3.3333,12.089,0.11111,0.61134,5.2222,20.903,6.7556,16.026,11.4,23.116,18.244,31.042
62089,62.367,29.733,27.708,25.286,0.083333,0.57735,1.7708,6.8734,1.25,7.5498,1.9792,10.983,1.5208,7.128,6.4167,18.684,3.5833,14.525,13.167,24.026,11.521,24.823,7.4583,16.275,5.6875,17.425,24.188,33.5,11.688,27.757,4.8542,15.948,3.7917,13.037,12.021,29.102,0.75,4.1795,0.89583,5.392,25.958,32.227
62351,80.857,23.869,26.979,26.159,0.79167,4.5381,4.6042,16.145,5.4375,20.861,10.521,25.027,16.792,31.055,12.75,28.871,1.9583,8.6072,11,21.537,2.5417,9.4979,6.6042,15.581,6.6458,14.802,5.9583,14.518,2.75,10.84,10.083,25.16,12.812,27.599,1.0417,7.0709,3.875,12.931,3.4375,12.396,7.3333,20.226
62465,77.306,19.341,41.812,26.903,6.5,19.33,7.9583,17.821,0.020833,0.14434,2.1042,14.431,3.2083,10.248,19.188,32.062,2.4167,11.808,5.7708,18.346,20.646,33.355,6.7292,14.715,11.833,26.321,6.25,18.368,0.22917,1.3086,3.2083,12.996,2.9792,11.94,12.729,28.679,1.1042,4.5159,2.4375,8.7492,12.542,22.393
251531,39.449,32.361,59.581,25.74,0.60465,3.6589,16.581,28.733,1.8837,6.0443,0.046512,0.21308,2.8372,13.189,1.907,6.7394,1.8837,6.7901,6.3488,16.844,3,13.87,3.6279,11.326,7.3023,22.071,3.7907,11.565,1.5116,7.3009,3.5581,12.962,2.0465,6.4141,0.48837,2.354,2.6744,15.262,23.512,36.128,17.256,31.094
440917,21.061,25.101,53.657,19.371,1.6857,5.5135,16.771,20.741,4.5429,14.73,0.028571,0.16903,0.028571,0.16903,10.2,21.414,7,19.845,6.2286,19.774,0.68571,3.8864,0.25714,1.3578,2.0571,11.997,4.0571,11.857,2.4,14.026,0.97143,5.5756,0.88571,3.8407,1.5143,7.6864,0,0,8.4,22.135,4.4571,12.178
637758,53.592,34.211,55.349,25.081,2.2558,9.472,27.814,31.071,18.651,28.714,0.023256,0.1525,0.023256,0.1525,5.3023,13.442,5.5581,18.283,7.8372,20.893,1.8372,7.1245,4.907,12.545,3.5814,12.195,2.4651,9.755,1.2326,7.9278,4.7442,15.286,5.6047,21.076,0.023256,0.1525,2.2326,10.249,9.2791,21.832,16.372,28.926
853433,82.082,15.237,68.449,27.347,21.286,34.823,47.714,34.031,3.7755,12.2,0.28571,1.8597,2.2857,12.305,36.286,40.488,4.3265,16.722,1.9184,9.4535,7.3878,19.562,1.2245,6.2057,18.184,32.549,4.3265,15.357,0.34694,2.2872,0.020408,0.14286,0.73469,3.4987,4.3265,17.926,1.3061,5.3975,9.8776,22.633,7.5714,19.706
1549025,5.2041,13.293,50.191,25.259,1.383,8.2239,19.638,29.166,16.319,30.488,0.021277,0.14586,1.234,7.6021,3.1277,9.2586,8.4255,20.561,9.3404,22.341,1.6383,6.992,3.2128,7.3749,2.1702,8.7609,2.4468,8.2904,0.06383,0.32332,2.1277,8.4663,3.0851,10.968,2.1277,10.402,2.4043,12.045,7.3617,15.096,22.702,31.456
2733294,62.286,27.732,42.447,29.034,0.021277,0.14586,17.638,27.549,12.702,27.822,1.0638,7.1457,1.9149,9.1172,2.1702,9.705,4.2128,14.284,8.4043,18.362,4.5319,15.15,8.9787,17.656,3.766,14.051,9.2766,20.822,5.1915,15.4,1.5532,6.5734,3.1277,10.41,3.6383,13.223,3.9149,16.499,7.7872,20.919,15.83,22.953
5281167,82.837,16.281,53.531,31.146,0.91837,4.2517,5.9592,16.719,8.3673,21.333,2.6735,12.977,1.3265,5.4635,6.7755,17.317,4.898,19.368,7.5918,20.536,3.4898,12.638,2.3061,9.7301,1.9388,12.008,3.2449,12.436,1.7551,7.3301,4.2041,13.681,1.7347,8.2885,1.6531,7.3358,47.286,46.881,11.653,24.623,1.8163,6.1022
5281168,62.612,30.372,32.894,25.734,0.51064,2.2829,10.043,24.802,6.8298,22.896,1.8511,8.6803,3.5319,14.14,5.1064,12.994,3.9574,12.316,19.128,26.956,4.6596,15.843,8.5319,20.646,3.7447,16.683,18.511,31.834,9.8511,24.434,3.617,8.1948,4.9574,17.225,1.1915,7.873,4.1277,15.728,2.7872,12.238,20.149,28.156
5318599,66.898,28.345,35.312,27.872,3.3542,15.835,15.479,26.843,2.4375,6.4012,0.60417,3.8962,0.39583,2.4559,6.7917,19.534,7.3125,22.038,5.75,14.39,5.5,15.355,10.083,21.336,2.75,9.4857,4.625,12.299,3.8333,15.856,6.9375,18.035,4.8542,13.334,5.2083,16.654,5.7917,20.475,5.0833,12.049,25.875,34.646
5352837,74.143,21.508,61.312,27.852,1.4167,9.6686,24.708,33.181,21.438,32.565,2.1042,14.431,0.4375,2.4832,6.9167,16.558,12.312,28.438,3.875,10.103,1.5208,7.4319,3.3333,11.322,5.5833,18.423,1.2708,5.3742,0.33333,2.1668,1.125,6.9485,2.0208,12.208,2.0417,7.9089,9.8125,23.837,8.5833,20.655,10.479,25.163
5364231,66.082,29.534,54.612,25.441,1.7755,7.3379,8.7755,19.293,11.531,27.339,1.9388,13.138,1.4082,6.955,3.4694,13.427,5.3878,15.77,5,15.233,1.8776,10.937,2.6122,14.431,7.7143,23.58,1.7959,7.8687,0.63265,4.0036,0.61224,3.999,0.55102,2.7918,3.6122,11.401,28.837,37.354,9.0408,20.292,8.2245,21.93
5371102,44.612,32.748,48.581,26.915,0.023256,0.1525,5.3488,12.515,0.69767,3.3984,0.023256,0.1525,1.1395,5.5574,3.1628,10.497,4.2558,16.307,6.0465,17.962,6.4186,18.26,7.186,19.079,3.907,15.93,2.9302,7.8812,0.88372,5.6409,3.6047,14.048,3,13.466,3.4651,13.627,6.0465,17.281,13.814,27.067,16.349,27.428
10857465,42.184,33.674,56.435,26.993,0.086957,0.46313,12.761,26.492,4.1522,17.115,0.021739,0.14744,1.413,7.3138,4.2609,17.566,9.2391,26.086,4.2609,13.496,2.2391,14.302,4.3261,13.75,8.6522,21.255,10.848,21.525,1.2609,3.7383,5.0652,16.929,0.52174,1.9859,11.783,28.774,5.5652,19.824,22.717,30.6,18.13,31.539
